Date & time of file creation	11/14/2021 8:08 AM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\loading_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\loading.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
11/14/2021/8:08:24 AM	Flush	1013.0	0.0	28.8000	21.81	96.92	28.8300	21.81	97.31	28.7600	21.81	96.63	28.5700	21.81	97.26	28.0600	21.81	96.85	27.8600	21.81	96.33	28.0800	21.81	96.45	28.1800	21.81	94.67	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:25 AM	Flush	1013.0	0.0	28.8300	21.81	96.66	28.8600	21.81	97.05	28.7500	21.81	96.72	28.5300	21.81	97.62	28.0700	21.81	96.75	27.8700	21.81	96.24	28.1000	21.81	96.27	28.1600	21.81	94.85	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:26 AM	Flush	1013.0	0.0	28.8300	21.81	96.66	28.8500	21.81	97.13	28.7400	21.81	96.81	28.6000	21.81	96.99	28.0500	21.81	96.94	27.8500	21.81	96.42	28.0800	21.81	96.45	28.1700	21.81	94.76	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:27 AM	Flush	1013.0	0.0	28.8200	21.81	96.75	28.8800	21.81	96.87	28.7500	21.81	96.72	28.5900	21.81	97.08	28.0600	21.81	96.85	27.8500	21.81	96.42	28.0800	21.81	96.45	28.1700	21.81	94.76	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:28 AM	Flush	1013.0	0.0	28.8100	21.81	96.84	28.8400	21.81	97.22	28.7500	21.81	96.72	28.5900	21.81	97.08	28.0700	21.81	96.75	27.8400	21.81	96.51	28.0700	21.81	96.54	28.2000	21.81	94.50	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:29 AM	Flush	1013.0	0.0	28.8400	21.81	96.57	28.9000	21.81	96.69	28.7600	21.81	96.63	28.5500	21.81	97.44	28.0600	21.81	96.85	27.8400	21.81	96.51	28.0700	21.81	96.54	28.2100	21.81	94.41	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:30 AM	Flush	1013.0	0.0	28.8200	21.81	96.75	28.8400	21.81	97.22	28.7400	21.81	96.81	28.5800	21.81	97.17	28.0800	21.81	96.66	27.8400	21.81	96.51	28.0800	21.81	96.45	28.1900	21.81	94.59	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:31 AM	Flush	1013.0	0.0	28.8300	21.81	96.66	28.8500	21.81	97.13	28.7600	21.81	96.63	28.5900	21.81	97.08	28.0400	21.81	97.03	27.8400	21.81	96.51	28.0700	21.81	96.54	28.1800	21.81	94.67	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:32 AM	Flush	1013.0	0.0	28.8000	21.81	96.92	28.8500	21.81	97.13	28.7600	21.81	96.63	28.5900	21.81	97.08	28.0900	21.81	96.57	27.8400	21.81	96.51	28.0800	21.81	96.45	28.1900	21.81	94.59	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/14/2021/8:08:33 AM	Flush	1013.0	0.0	28.8200	21.81	96.75	28.8800	21.81	96.87	28.7600	21.81	96.63	28.5300	21.81	97.62	28.0200	21.81	97.21	27.8500	21.81	96.42	28.0600	21.81	96.63	28.1800	21.81	94.67	NaN	NaN	NaN	NaN	21.8100	21.81	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
