"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",17.8,317,(2021-Nov-15 13:38:18),"M3",27.009,-0.00846733148231171,-0.0082980769612762,4.36847035003056e-05,0.998395150451735,9.12033208622759,1.99891218843956,8.93802465652982,502.136216658979,"mg O2","MMR",27,1
"2","CH2","2",15.62,317,(2021-Nov-15 13:48:18),"M4",27.0051666666667,-0.00854190996545366,-0.00834152423584452,5.94661787840441e-05,0.997061004256233,9.26769897139832,2.34591245306455,9.05028686711576,579.403768701393,"mg O2","MMR",27,1
"3","CH3","3",21.33,317,(2021-Nov-15 14:58:18),"M11",27.0245,-0.00947246244479121,-0.00920782705649448,4.68790284904819e-05,0.99849886942948,10.0826026957851,2.79373383467206,9.8009216128574,459.489995914552,"mg O2","MMR",27,1
"4","CH4","4",13.21,317,(2021-Nov-15 14:08:18),"M6",26.9601666666667,-0.00826392585986869,-0.0080521706049948,0.000105274912536072,0.990183257146524,9.03779293309023,2.56240506588053,8.80620806912894,666.631950728913,"mg O2","MMR",27,1
"5","CH5","5",13.26,317,(2021-Nov-15 14:28:18),"M8",27.0105,-0.00707518633489837,-0.00685067090076126,3.92091684246274e-05,0.998103675301148,7.73646155050331,3.17327945173247,7.49096200583001,564.929261374812,"mg O2","MMR",27,1
"6","CH6","6",19.7,317,(2021-Nov-15 14:48:18),"M10",27.004,-0.00873105148032101,-0.0084859775159932,3.95806752881455e-05,0.998739789796894,9.34466977835797,2.80692382675988,9.08237201581721,461.034112478031,"mg O2","MMR",27,1
"7","CH7","7",18.36,317,(2021-Nov-15 14:48:18),"M10",27.004,-0.00851014364726833,-0.00827224429037113,5.16682142171055e-05,0.997742401939523,9.14928947575278,2.79547992087733,8.89352292555516,484.396673505183,"mg O2","MMR",27,1
"8","CH8","8",12.61,317,(2021-Nov-15 15:08:18),"M12",27.034,-0.00667125449190745,-0.00651675306301576,4.21375147142814e-05,0.997580913322772,7.31038735725015,2.31592767266052,7.14108407346492,566.303257213713,"mg O2","MMR",27,1
"9","CH1","1",17.97,317,(2021-Nov-16 11:30:20),"M3",29.0365,-0.0105114434108388,-0.0103421888898032,4.69336163630771e-05,0.998806966431661,11.3156529233152,1.61019295276791,11.1334490773843,619.557544651325,"mg O2","MMR",29,2
"10","CH2","2",15.32,317,(2021-Nov-16 11:30:20),"M3",29.0365,-0.00941828843477712,-0.00922795302917562,6.73732189016295e-05,0.996917868120648,10.2287133180128,2.02091289643121,10.0219999314301,654.177541216066,"mg O2","MMR",29,2
"11","CH3","3",21,317,(2021-Nov-16 12:00:20),"M6",28.9911666666667,-0.0110375827752058,-0.0108390821987344,4.1396783966806e-05,0.999154703798918,11.7616482052593,1.79840623181813,11.5501259909714,550.005999570066,"mg O2","MMR",29,2
"12","CH4","4",13.06,317,(2021-Nov-16 11:50:20),"M5",29.0091666666667,-0.00944531219595349,-0.00924371782153893,0.000106596131933675,0.992346136562961,10.3349094798172,2.13433256870989,10.1143281408428,774.450853050747,"mg O2","MMR",29,2
"13","CH5","5",13.18,317,(2021-Nov-16 12:00:20),"M6",28.9911666666667,-0.00874906159053547,-0.00854317504626129,3.06112898424558e-05,0.999255903322733,9.56930361277135,2.35324145502532,9.34411479319838,708.961668679695,"mg O2","MMR",29,2
"14","CH6","6",20.72,317,(2021-Nov-16 12:10:20),"M7",28.974,-0.0110194401657552,-0.0108058584257546,3.96719933142169e-05,0.999218843399746,11.7534230363158,1.93822677729365,11.5256150437773,556.255552305855,"mg O2","MMR",29,2
"15","CH7","7",17.85,317,(2021-Nov-16 12:30:20),"M9",28.9866666666667,-0.0104030018944503,-0.0101748535477936,4.23985616512509e-05,0.99899391019586,11.2034088602093,2.19310107766486,10.9577067797608,613.877130518814,"mg O2","MMR",29,2
"16","CH8","8",12.75,317,(2021-Nov-16 12:40:20),"M10",28.9786666666667,-0.00823276014383736,-0.00810115096824197,4.97359787478146e-05,0.997818639260143,9.01734218554506,1.59860330309639,8.87319065551543,695.93652200121,"mg O2","MMR",29,2
"17","CH1","1",14.51,317,(2021-Nov-18 13:55:16),"M6",26.9478333333333,-0.0108891875170432,-0.0102351756447198,3.78656998037353e-05,0.999206796269572,11.8579331953094,6.00606676393262,11.1457378107766,768.141820177575,"mg O2","MMR",27,1
"18","CH2","2",13.95,317,(2021-Nov-18 13:05:16),"M1",27.0803333333333,-0.00867164428104814,-0.00809322118622785,5.755940402206e-05,0.997074867651165,9.4605904777379,6.6702816221882,8.82954244975086,632.942111093252,"mg O2","MMR",27,1
"19","CH3","3",17.16,317,(2021-Nov-18 13:35:16),"M4",27.0158333333333,-0.00988577498099325,-0.00925483679276231,2.93588738727119e-05,0.999416667949041,10.6709427730837,6.38228352803904,9.98989295019067,582.161593833955,"mg O2","MMR",27,1
"20","CH4","4",19.28,317,(2021-Nov-18 13:45:16),"M5",26.9585,-0.0104427677692323,-0.00977887185266719,6.99570685840472e-05,0.997040444659681,11.192474952921,6.35747084715566,10.4809166207139,543.616007298437,"mg O2","MMR",27,1
"21","CH5","5",14.12,317,(2021-Nov-18 14:05:16),"M7",26.9186666666667,-0.00750928146637158,-0.00697068933777989,5.52753893650758e-05,0.99636621563667,8.18788021392464,7.17235238822296,7.60061659185639,538.287294040821,"mg O2","MMR",27,1
"22","CH6","6",13.55,317,(2021-Nov-18 13:15:16),"M2",27.1898333333333,-0.00890940001087672,-0.00841960663579774,5.86851026744787e-05,0.997190182443611,9.73280675988195,5.4974900047258,9.19774668107816,678.800493068499,"mg O2","MMR",27,1
"23","CH7","7",15.14,317,(2021-Nov-18 14:15:16),"M8",26.9615,-0.00817017580795943,-0.00757790789371121,4.68238444349131e-05,0.997790455103506,8.87849736980628,7.24914528364528,8.2348821964644,543.915600823276,"mg O2","MMR",27,1
"24","CH8","8",14.82,317,(2021-Nov-18 14:35:16),"M10",27.0443333333333,-0.00830027862736342,-0.00765908606679898,6.5472217671078e-05,0.995779621215552,9.02944150422005,7.72495224980322,8.33192145959513,562.207925748659,"mg O2","MMR",27,1
"25","CH1","1",14.12,317,(2021-Nov-19 11:38:14),"M3",28.9633333333333,-0.0112647111146735,-0.0106659572174093,4.61899187730236e-05,0.998913447849279,12.2826805286844,5.31530627966363,11.6298184392322,823.641532523525,"mg O2","MMR",29,2
"26","CH2","2",13.73,317,(2021-Nov-19 11:38:14),"M3",28.9633333333333,-0.00932753118947914,-0.00870980744297922,6.43812420401846e-05,0.996840957552432,10.1835373818,6.62258569766751,9.50912389163631,692.580035807451,"mg O2","MMR",29,2
"27","CH3","3",17.05,317,(2021-Nov-19 11:48:14),"M4",28.9901666666667,-0.0106103276456528,-0.00997619525685537,4.19331089829991e-05,0.998976312433917,11.4572439983288,5.97655802888647,10.7724951622576,631.817898079622,"mg O2","MMR",29,2
"28","CH4","4",19.25,317,(2021-Nov-19 11:58:14),"M5",28.9425,-0.012998833682692,-0.0123277743844855,8.41855513004586e-05,0.997302504873162,13.9334498244775,5.16245776034479,13.21414136273,686.448901960002,"mg O2","MMR",29,2
"29","CH5","5",14.04,317,(2021-Nov-19 12:08:14),"M6",28.9656666666667,-0.00919276875767878,-0.00866458086594007,5.82567286941989e-05,0.997384902696828,10.0261484021749,5.7456888741764,9.45007710892273,673.082415165437,"mg O2","MMR",29,2
"30","CH6","6",13.54,317,(2021-Nov-19 12:18:14),"M7",28.9816666666667,-0.00889572054632374,-0.00833580916249138,5.26403943962179e-05,0.997692363584536,9.71818328515465,6.29416561499056,9.10650473441869,672.56312661881,"mg O2","MMR",29,2
"31","CH7","7",14.74,317,(2021-Nov-19 12:28:14),"M8",28.9598333333333,-0.00883112079276985,-0.00823074831040994,5.81683120816226e-05,0.997111542263003,9.60946045496142,6.7983724427306,8.95617354349623,607.610145420368,"mg O2","MMR",29,2
"32","CH8","8",14.75,317,(2021-Nov-19 12:38:14),"M9",28.9695,-0.00987436168379285,-0.00925137702698489,5.72577074960596e-05,0.99778323657532,10.744292948135,6.30911320405133,10.0664233430623,682.469379190662,"mg O2","MMR",29,2
