Date & time of file creation	8/4/2021 5:08 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_21_23_BC_8.4.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_21_23_BC_8.4.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
8/4/2021/5:09:12 PM	Flush	1013.0	0.0	27.2325	21.03	94.91	27.1575	21.03	95.59	27.2387	21.03	95.75	27.1612	21.03	96.46	27.1100	21.09	95.47	27.0000	21.09	96.02	27.0600	21.09	95.47	27.1400	21.09	94.75	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:13 PM	Flush	1013.0	0.0	27.2237	21.03	94.99	27.1575	21.03	95.59	27.2387	21.03	95.75	27.1687	21.03	96.39	27.1000	21.09	95.56	27.0250	21.09	95.79	27.0800	21.09	95.29	27.1400	21.09	94.75	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:14 PM	Flush	1013.0	0.0	27.2375	21.03	94.86	27.2087	21.03	95.12	27.2550	21.03	95.60	27.1575	21.03	96.48	27.1150	21.09	95.43	27.0400	21.09	95.66	27.1000	21.09	95.11	27.1500	21.09	94.66	NaN	NaN	NaN	NaN	21.0338	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:15 PM	Flush	1013.0	0.0	27.2350	21.04	94.87	27.1750	21.04	95.41	27.2300	21.04	95.81	27.1775	21.04	96.29	27.1600	21.09	95.02	27.0250	21.09	95.79	27.0950	21.09	95.16	27.1450	21.09	94.71	NaN	NaN	NaN	NaN	21.0400	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:16 PM	Flush	1013.0	0.0	27.2025	21.04	95.17	27.1687	21.04	95.48	27.2300	21.04	95.82	27.1825	21.04	96.25	27.1300	21.09	95.29	27.0550	21.09	95.52	27.0800	21.09	95.29	27.1750	21.09	94.44	NaN	NaN	NaN	NaN	21.0362	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:17 PM	Flush	1013.0	0.0	27.1863	21.03	95.32	27.1700	21.03	95.47	27.2375	21.03	95.76	27.1813	21.03	96.27	27.0900	21.09	95.65	27.0700	21.09	95.38	27.0900	21.09	95.20	27.1650	21.09	94.53	NaN	NaN	NaN	NaN	21.0338	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:18 PM	Flush	1013.0	0.0	27.1875	21.04	95.30	27.1350	21.04	95.78	27.2500	21.04	95.63	27.1887	21.04	96.19	27.0900	21.09	95.65	27.0550	21.09	95.52	27.1050	21.09	95.07	27.1450	21.09	94.71	NaN	NaN	NaN	NaN	21.0400	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:19 PM	Flush	1013.0	0.0	27.2000	21.04	95.19	27.1750	21.04	95.42	27.2462	21.04	95.67	27.1663	21.04	96.40	27.1150	21.09	95.43	27.0700	21.09	95.38	27.0950	21.09	95.16	27.1700	21.09	94.48	NaN	NaN	NaN	NaN	21.0362	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:20 PM	Flush	1013.0	0.0	27.1962	21.03	95.24	27.1925	21.03	95.27	27.2362	21.03	95.77	27.1675	21.03	96.40	27.1150	21.09	95.43	27.0550	21.09	95.52	27.0700	21.09	95.38	27.1650	21.09	94.53	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:21 PM	Flush	1013.0	0.0	27.1900	21.03	95.29	27.1687	21.03	95.49	27.2300	21.03	95.83	27.1762	21.03	96.32	27.1150	21.09	95.43	27.0450	21.09	95.61	27.0900	21.09	95.20	27.1400	21.09	94.75	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:22 PM	Flush	1013.0	0.0	27.1788	21.03	95.40	27.1425	21.03	95.72	27.2338	21.03	95.80	27.1625	21.03	96.44	27.1300	21.09	95.29	27.0500	21.09	95.56	27.1100	21.09	95.02	27.1250	21.09	94.89	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:23 PM	Flush	1013.0	0.0	27.1713	21.03	95.46	27.1638	21.03	95.53	27.2437	21.03	95.71	27.1537	21.03	96.52	27.1300	21.09	95.29	27.0150	21.09	95.88	27.0800	21.09	95.29	27.1300	21.09	94.84	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:24 PM	Flush	1013.0	0.0	27.2013	21.03	95.19	27.2162	21.03	95.05	27.2462	21.03	95.68	27.1525	21.03	96.53	27.1250	21.09	95.34	27.0150	21.09	95.88	27.0700	21.09	95.38	27.1250	21.09	94.89	NaN	NaN	NaN	NaN	21.0338	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:25 PM	Flush	1013.0	0.0	27.2087	21.04	95.11	27.1875	21.04	95.31	27.2287	21.04	95.83	27.1363	21.04	96.67	27.1350	21.09	95.25	27.0100	21.09	95.94	27.0750	21.09	95.35	27.1400	21.09	94.76	NaN	NaN	NaN	NaN	21.0362	21.04	OFF	21.0850	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:26 PM	Flush	1013.0	0.0	27.2050	21.03	95.15	27.1725	21.03	95.45	27.1913	21.03	96.18	27.1300	21.03	96.74	27.1150	21.08	95.44	27.0200	21.08	95.85	27.0850	21.08	95.26	27.1600	21.08	94.59	NaN	NaN	NaN	NaN	21.0338	21.03	OFF	21.0800	21.08	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:27 PM	Flush	1013.0	0.0	27.2263	21.04	94.95	27.1950	21.04	95.23	27.1825	21.04	96.25	27.1375	21.04	96.66	27.1100	21.08	95.49	27.0250	21.08	95.81	27.0800	21.08	95.31	27.1550	21.08	94.63	NaN	NaN	NaN	NaN	21.0400	21.04	OFF	21.0800	21.08	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
