Date & time of file creation	10/15/2021 4:09 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\empty_post_10.15.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\empty_post_10.15.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
10/15/2021/4:09:47 PM	Flush	1013	0	28.6475	25	7.49717744443633	28.6575	25	7.48974222713606	28.5525	25	7.52443990787064	28.3725	25	7.53931034247118	27.6875	25	7.60044435138449	27.6262	25	7.59631367510656	27.6837	25	7.58887845780629	27.5937	25	7.61283638021827	NA	NA	NA	NA	25.0025	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:48 PM	Flush	1013	0	28.6438	25	7.50048198545867	28.675	25	7.47817633355787	28.5538	25	7.52361377261506	28.3762	25	7.53683193670442	27.6863	25	7.60127048664007	27.6238	25	7.59796594561773	27.6738	25	7.59631367510656	27.5837	25	7.62027159751853	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:49 PM	Flush	1013	0	28.6337	25	7.50709106750335	28.665	25	7.48561155085814	28.55	25	7.52609217838181	28.3738	25	7.53848420721559	27.69	25	7.59879208087332	27.62	25	7.60127048664007	27.6775	25	7.59383526933981	27.595	25	7.61201024496268	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:50 PM	Flush	1013	0	28.6225	25	7.51535242005921	28.6875	25	7.46991498100202	28.55	25	7.52609217838181	28.385	25	7.53022285465974	27.6713	25	7.61201024496268	27.6137	25	7.605401162918	27.6738	25	7.59631367510656	27.5875	25	7.61696705649619	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:51 PM	Flush	1013	0	28.6325	25	7.50791720275894	28.6813	25	7.47404565727994	28.5375	25	7.53517966619325	28.3775	25	7.53600580144884	27.6788	25	7.60622729817359	27.6225	25	7.59879208087332	27.6575	25	7.60787956868476	27.5925	25	7.61366251547385	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:52 PM	Flush	1013	0	28.6462	25	7.49800357969192	28.67	25	7.48148087458021	28.5237	25	7.54509328926027	28.3637	25	7.54591942451586	27.6837	25	7.60292275715124	27.6363	25	7.58970459306188	27.6812	25	7.59135686357305	27.6125	25	7.5996182161289	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:53 PM	Flush	1013	0	28.65	25	7.49552517392516	28.67	25	7.48148087458021	28.5425	25	7.53187512517091	28.3525	25	7.55335464181613	27.68	25	7.605401162918	27.615	25	7.60457502766241	27.6813	25	7.59135686357305	27.595	25	7.61201024496268	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:54 PM	Flush	1013	0	28.6438	25	7.50048198545867	28.67	25	7.48148087458021	28.5562	25	7.52196150210389	28.3687	25	7.54178874823793	27.6988	25	7.59218299882864	27.6125	25	7.60622729817359	27.6762	25	7.59466140459539	27.5925	25	7.61366251547385	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:55 PM	Flush	1013	0	28.6337	25	7.50709106750335	28.67	25	7.48148087458021	28.5413	25	7.5327012604265	28.3738	25	7.53848420721559	27.685	25	7.60209662189566	27.6262	25	7.59631367510656	27.6675	25	7.60127048664007	27.5937	25	7.61283638021827	NA	NA	NA	NA	25	25	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:56 PM	Flush	1013	0	28.6425	25.01	7.49827418496802	28.6638	25.01	7.48340648995486	28.5487	25.01	7.52470564276918	28.395	25.01	7.52140171054404	27.6887	25.01	7.59739215172239	27.6238	25.01	7.59574018560982	27.66	25.01	7.60400001617268	27.59	25.01	7.61308582979183	NA	NA	NA	NA	25.0063	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:57 PM	Flush	1013	0	28.6438	25.02	7.49441547534364	28.6725	25.02	7.47459553359067	28.5475	25.02	7.52249372616036	28.3725	25.02	7.53405535884959	27.7075	25.02	7.58112772051291	27.65	25.02	7.57452107326191	27.6675	25.02	7.59599267682764	27.59	25.02	7.61085763314237	NA	NA	NA	NA	25.0162	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:58 PM	Flush	1013	0	28.6337	25.02	7.50102212259463	28.6675	25.02	7.47789885721616	28.54	25.02	7.5274487115986	28.3562	25.02	7.54479116063245	27.6975	25.02	7.5877343677639	27.635	25.02	7.58525687504478	27.6887	25.02	7.58030188960653	27.5837	25.02	7.61498678767424	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:09:59 PM	Flush	1013	0	28.6363	25.02	7.49937046078188	28.685	25.02	7.46551139362055	28.5338	25.02	7.53157786613047	28.3725	25.02	7.53322952794322	27.6962	25.02	7.58856019867027	27.62	25.02	7.59599267682764	27.675	25.02	7.59021186048302	27.5925	25.02	7.60838014042325	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
10/15/2021/4:10:00 PM	Flush	1013	0	28.6337	25.02	7.50102212259463	28.6938	25.02	7.45890474636956	28.53	25.02	7.53488118975597	28.38	25.02	7.52827454250497	27.6938	25.02	7.59021186048302	27.62	25.02	7.59599267682764	27.6725	25.02	7.59186352229577	27.6	25.02	7.603425154985	NA	NA	NA	NA	25.02	25.02	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
