Date & time of file creation	11/10/2021 1:00 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\MMR_23_BC_11.10.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\MMR_23_BC_11.10.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
11/10/2021/1:00:46 PM	Flush	1013.0	0.0	28.5925	23.01	94.56	28.6388	23.01	94.41	28.4838	23.01	94.58	28.4163	23.01	94.24	27.8150	23.01	94.17	27.6000	23.01	94.52	27.8450	23.01	94.16	27.7475	23.01	94.25	NaN	NaN	NaN	NaN	23.0088	23.01	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:47 PM	Flush	1013.0	0.0	28.6100	23.00	94.42	28.6325	23.00	94.48	28.5088	23.00	94.38	28.3875	23.00	94.51	27.8325	23.00	94.03	27.5925	23.00	94.60	27.8500	23.00	94.13	27.7550	23.00	94.19	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:48 PM	F1   	1013.0	0.0	28.6088	23.00	94.43	28.6487	23.00	94.34	28.4988	23.00	94.47	28.3738	23.00	94.63	27.8337	23.00	94.02	27.5963	23.00	94.57	27.8375	23.00	94.24	27.7600	23.00	94.15	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:49 PM	F1   	1013.0	0.0	28.5988	23.00	94.52	28.6438	23.00	94.38	28.4912	23.00	94.53	28.4000	23.00	94.40	27.8225	23.00	94.11	27.6000	23.00	94.53	27.8225	23.00	94.37	27.7450	23.00	94.28	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:50 PM	F1   	1013.0	0.0	28.5912	23.00	94.59	28.6700	23.00	94.15	28.5012	23.00	94.44	28.4037	23.00	94.37	27.8200	23.00	94.14	27.5850	23.00	94.66	27.8125	23.00	94.46	27.7625	23.00	94.13	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:51 PM	F1   	1013.0	0.0	28.6013	23.00	94.50	28.6650	23.00	94.19	28.5088	23.00	94.38	28.4288	23.00	94.15	27.8200	23.00	94.14	27.5950	23.00	94.58	27.8325	23.00	94.28	27.7475	23.00	94.26	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:52 PM	F1   	1013.0	0.0	28.6075	23.00	94.44	28.6325	23.00	94.48	28.5012	23.00	94.44	28.4175	23.00	94.25	27.8200	23.00	94.14	27.6150	23.00	94.40	27.8325	23.00	94.28	27.7625	23.00	94.13	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:53 PM	F1   	1013.0	0.0	28.5912	23.00	94.59	28.6487	23.00	94.34	28.5075	23.00	94.39	28.3937	23.00	94.46	27.8200	23.00	94.14	27.6125	23.00	94.42	27.8300	23.00	94.30	27.7625	23.00	94.13	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:54 PM	F1   	1013.0	0.0	28.6000	23.00	94.51	28.6388	23.00	94.42	28.4937	23.00	94.51	28.3513	23.00	94.83	27.8350	23.00	94.00	27.6175	23.00	94.38	27.8300	23.00	94.30	27.7525	23.00	94.22	NaN	NaN	NaN	NaN	23.0000	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:55 PM	F1   	1013.0	0.0	28.5975	23.00	94.53	28.6300	23.00	94.50	28.5188	23.00	94.29	28.3650	23.00	94.71	27.8100	23.00	94.22	27.6200	23.00	94.35	27.8300	23.00	94.30	27.7575	23.00	94.17	NaN	NaN	NaN	NaN	23.0012	23.00	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
